"","500","1000","2500","5000"
"1",1.80910705,3.616458885,9.023969911,18.068619782
"2-3",1.504177791,3.000266728,7.514763669,14.958472588
"4-7",1.365026155,2.715393113,6.783181767,13.579961601
"8-15",1.291080868,2.553138136,6.33334456,12.627035483
"16-31",1.237014211,2.421672719,5.981778377,11.953921638
"32-63",1.174635878,2.250649931,5.479925901,10.898243618
"64-127",1.06968365,1.965689453,4.673054901,9.235084975
"128-255",0.866693836,1.485151399,3.421612215,6.678944749
"256-511",0.41384392,0.775758793,1.792949366,3.492000284
"512-1023",0,0.123605709,0.455226227,0.950721752
"1024-2047",0,0,0.018794207,0.068619782
"2048-4095",0,0,1.1227e-05,7.1109e-05
