"Type.of.feeding.interaction","Predator.lifestage","Intercept","Slope","R.squared","F.statistic","p.value"
"insectivorous","larva / juvenile",-3.45975627178894,81.1591380069623,0.621254577117463,49.2088780154159,8.51926669047012e-08
"piscivorous","adult",18859.8842209802,59.1262314720644,0.021536869262521,389.549182012408,8.67461555109489e-86
"piscivorous","juvenile",5510.17020640088,10.2848479190317,0.00959947808315517,29.3392617579264,6.55097406740421e-08
"piscivorous","larva / juvenile",9.86483143239672,172.511898493461,0.232313578702393,2.72353678574573,0.133275952079355
"piscivorous","postlarva",0.0382407206914082,0.582050921513236,0.605743142370175,47.6289430356757,9.72722953165703e-08
"piscivorous","postlarva/juvenile",1.28,NA,0,NA,NA
"planktivorous","adult",26967.7354654314,152.795681507932,0.0148266421747683,2.34776566062415,0.12748816361192
"planktivorous","juvenile",2.25196721311474,6557.37704918046,1,NA,NA
"planktivorous","larva",0.149952307811492,-0.125540385475094,0.000229535758135438,0.234868991404557,0.628040559141267
"planktivorous","larva / juvenile",0.41201753189867,100348.136755092,0.0281834521378093,3.42209376818833,0.0668312825188673
"planktivorous","postlarva/juvenile",0.153516129748767,21012.870102476,0.0763315504427213,21.65156363799,5.19518130117455e-06
"predacious","adult",14022.5769795346,86.6733851893607,0.0760967901124047,653.067813104193,1.72637702927156e-138
"predacious","juvenile",1477.06697786479,72.527690997458,0.0702164807756489,158.590259538993,4.12858422953415e-35
"predacious","larva",0.107758676365579,16253.0221597405,0.321359300269679,572.975881760157,5.60208041879037e-104
"predacious","larva / juvenile",1.51278179933138,164.216226022138,0.126808753413814,70.4338776254896,5.25237217935004e-16
"predacious","postlarva",0.133502073567387,-0.00861452759101591,0.0105760559264123,0.748237314533598,0.389989666306616
"predacious","postlarva/juvenile",0.565541752418578,1.7461898824416,0.046276154857748,28.5306686992787,1.32011188235226e-07
"predacious/piscivorous","adult",503.058942134918,11.949120671082,0.194433583643607,38.3766492391315,4.79389028064082e-09
